paceName,lower,upper
instance174.gr ,62449,62449
instance175.gr ,592240832,592240832
instance176.gr ,792599114,792599114
instance177.gr ,815404026,815404026
instance178.gr ,27941456,27941456
instance179.gr ,758483415,758483415
instance180.gr ,773096651,773096651
instance181.gr ,19938744,19938744
instance182.gr ,788774494,788774494
instance183.gr ,24819583,24819583
instance184.gr ,928032223,928032223
instance185.gr ,792941137,792941137
instance186.gr ,804532332,804532332
instance187.gr ,863103567,863103567
instance188.gr ,925470052,925470052
instance189.gr ,40632152,40632152
instance190.gr ,26165528,26165528
instance191.gr ,976812226,976812226
instance192.gr ,1110914623,1110914623
instance193.gr ,182361,182361
instance194.gr ,33949874,33949874
instance195.gr ,1405593856,1405593856
instance196.gr ,44547208,44547208
instance197.gr ,51219090,51219090
instance198.gr ,716174280,716174280
instance199.gr ,18214,18214
instance200.gr ,18252,18253
